Trial #,latency
0,8395678
1,6763599
2,6503533
3,4917515
4,5169251
5,4790623
6,4954885
7,4885703
8,4221935
9,3247955
10,3237913
11,3147843
12,3424863
13,3137973
14,3191523
15,3208501
16,3239301
17,3219581
18,3217663
19,3234399
20,3131187
21,3214999
22,3205171
23,3210397
24,3121717
25,3250621
26,3217413
27,3114899
28,3351927
29,3104125
30,3189117
31,3225609
32,3391459
33,3186345
34,3344373
35,3204083
36,3158148
37,3152343
38,3192725
39,3171259
40,3119009
41,3266013
42,3201294
43,3119058
44,3270639
45,3100821
46,3220879
47,3193995
48,3162395
49,3242773
50,3239119
51,3182343
52,3128202
53,3201741
54,3166869
55,3206837
56,3177705
57,3123633
58,3201339
59,3110949
60,3091147
61,3154815
62,3276423
63,3246964
64,3215475
65,3300293
66,3236155
67,3289343
68,3246637
69,3225389
70,3249721
71,3137771
72,3089892
73,3241372
74,3131820
75,3121998
76,3189147
77,3269878
78,3170987
79,3228913
80,3214923
81,3225515
82,3212093
83,3219233
84,3162839
85,3188193
86,3199203
87,4893763
88,3318811
89,3249711
90,3317741
91,3212783
92,3164401
93,3226069
94,3244155
95,3230587
96,3209797
97,3147160
98,3332601
99,3153840
100,3196515
101,3220765
102,3223949
103,9217958
104,6447138
105,14980798
106,2895009
107,2762427
108,2730637
109,2826721
110,2859991
111,2810091
112,2834563
113,2761057
114,2936563
115,2899693
116,2889411
117,2752557
118,2805913
119,2870695
120,2770119
121,2832553
122,2853279
123,2800083
124,2736045
125,2875739
126,2728817
127,2603953
128,2839859
129,2702679
130,2704983
131,2648587
132,2658615
133,2791667
134,2748615
135,2678499
136,2656667
137,2726473
138,2622137
139,2824539
140,2689799
141,2654815
142,2638337
143,2660539
144,2690179
145,2691431
146,2742059
147,2683575
148,2681591
149,2691225
150,2712709
151,2703145
152,2761049
153,2674527
154,2735705
155,2550889
156,2422225
157,2389413
158,2431377
159,2415459
160,2407569
161,2390077
162,2436637
163,2418115
164,2446063
165,2457757
166,2394115
167,2597357
168,2406393
169,2419431
170,2424247
171,2417665
172,2522493
173,2384611
174,2394419
175,2396495
176,2402495
177,2675568
178,2373087
179,2410031
180,2415601
181,2398149
182,2478013
183,2393195
184,2420133
185,2347635
186,2348221
187,2362365
188,2406519
189,2328519
190,2447857
191,2474795
192,2379009
193,2353537
194,2323013
195,2374643
196,2400305
197,2326517
198,2336251
199,2369549
200,2384429
201,2519685
202,2327591
203,2394985
204,2300771
205,2317441
206,2342953
207,2409665
208,2427505
209,2464633
210,2325483
211,2352499
212,2372587
213,2326863
214,2359167
215,2425863
216,2379437
217,2348447
218,2336649
219,2300439
220,2319605
221,2508155
222,2549159
223,2398921
224,2373557
225,2407727
226,2386613
227,2335475
228,2461975
229,2353379
230,2457889
231,2339729
232,2342157
233,2392069
234,2607319
235,2341549
236,2408493
237,2333573
238,2467691
239,2416271
240,2362643
241,2420743
242,2375023
243,2354389
244,2334239
245,2290797
246,2344405
247,2414001
248,2339463
249,2361699
250,2548709
251,2337519
252,2377021
253,2585931
254,2353437
255,2399845
256,2379677
257,2345811
258,2333405
259,2349145
260,2415157
261,2303941
262,2313651
263,2308661
264,2369215
265,2384335
266,2476539
267,2332161
268,2354683
269,2365423
270,2497858
271,2422737
272,2382131
273,2373009
274,2369215
275,2360639
276,2341017
277,2349305
278,2380759
279,2375865
280,2362945
281,2306353
282,2347267
283,2341273
284,2351977
285,2507945
286,2394415
287,2369329
288,2374327
289,2354793
290,2313153
291,2545669
292,2427387
293,2359811
294,2322359
295,2293329
296,2421391
297,2380941
298,2532135
299,2365391
300,2334767
301,2348313
302,2361119
303,2389125
304,2370843
305,2338261
306,2370339
307,2379535
308,2418099
309,2307211
310,2352449
311,2369877
312,2320705
313,2313259
314,2570313
315,2330181
316,2447813
317,2488749
318,2373317
319,2410085
320,2474005
321,2423237
322,2355883
323,2308223
324,2342993
325,2357821
326,2348201
327,2409707
328,2357493
329,2326109
330,2370607
331,2349745
332,2413333
333,2417403
334,2348981
335,2529109
336,2368085
337,2337643
338,2404005
339,2327143
340,2410243
341,2484585
342,2342297
343,2390055
344,2359803
345,2332737
346,2449285
347,2336767
348,2427783
349,2320239
350,2322499
351,2398935
352,2393517
353,2366221
354,2353739
355,2310415
356,2348437
357,2315183
358,2341337
359,2401073
360,2319329
361,2320977
362,2322913
363,2320465
364,2308737
365,2457093
366,2345721
367,2360811
368,2437075
369,2355667
370,2292851
371,2494739
372,2312971
373,2329227
374,2307513
375,2329403
376,2305795
377,2308907
378,2396813
379,2345043
380,2312939
381,2330437
382,2328707
383,2400609
384,2357633
385,2370071
386,2298373
387,2318307
388,2317965
389,2349871
390,2407795
391,2312775
392,2292507
393,2351193
394,2317863
395,2328997
396,2543013
397,2382773
398,2372201
399,2390423
400,2348667
401,2372101
402,2352815
403,2364259
404,2298513
405,2330219
406,2347113
407,2328173
408,2315235
409,2402449
410,2308159
411,2392047
412,2345987
413,2318243
414,2375869
415,2378085
416,2358725
417,2332799
418,2327773
419,2317601
420,2461873
421,2329909
422,2425477
423,2308427
424,2335361
425,2303017
426,2286793
427,2322409
428,2412283
429,2290495
430,2334131
431,2377515
432,2380671
433,2342635
434,2346855
435,2361063
436,2312249
437,2312385
438,2407009
439,2289789
440,2333891
441,2405615
442,2309913
443,2381497
444,2304753
445,2293589
446,2303115
447,2331877
448,2424183
449,2337159
450,2290853
451,2334153
452,2315395
453,2307737
454,2403125
455,2309551
456,2308601
457,2307989
458,2346067
459,2295717
460,2405495
461,2274671
462,2467943
463,2336181
464,2542957
465,2392439
466,2338251
467,2391461
468,2291711
469,2424749
470,2349719
471,2338281
472,2366991
473,2464227
474,2362385
475,2299345
476,2344879
477,2349969
478,2352247
479,2373471
480,2327381
481,2426979
482,2342765
483,2347543
484,2333593
485,2443309
486,2389741
487,2316757
488,2349087
489,2338277
490,2435227
491,2292145
492,2605913
493,2334605
494,2551523
495,2468331
496,2331965
497,2305317
498,2389679
499,2327535
500,2341681
501,2292709
502,2497247
503,2356879
504,2323721
505,2362221
506,2290767
507,2316757
508,2314725
509,2319419
510,2321597
511,2380167
512,2381709
513,2354239
514,2380045
515,2330603
516,2675113
517,2398667
518,2334129
519,2307557
520,2328099
521,2353467
522,2346013
523,2336851
524,2378281
525,2332017
526,2400225
527,2336337
528,2319625
529,2386347
530,2363077
531,2390645
532,2327439
533,2334479
534,2352073
535,2330651
536,2378563
537,2505495
538,2302731
539,2287197
540,2346185
541,2361109
542,2322299
543,2445597
544,2285043
545,2299835
546,2308807
547,2330871
548,2385395
549,2344751
550,2355367
551,2342871
552,2311721
553,2313277
554,2319221
555,2359317
556,2351231
557,2539085
558,2430331
559,2351877
560,2311955
561,2304601
562,2558917
563,2274897
564,2343981
565,2354753
566,2338689
567,2345333
568,2392497
569,2344521
570,2347343
571,2319713
572,2450807
573,2340451
574,2374587
575,2331921
576,2326941
577,2295537
578,2320803
579,2322451
580,2311851
581,2333687
582,2335583
583,2335977
584,2290333
585,2352925
586,2325851
587,2384491
588,2397963
589,2360101
590,2328421
591,2516459
592,2334203
593,2426297
594,2373905
595,2307397
596,2326977
597,2304749
598,2410860
599,2353463
600,2367549
601,2303057
602,2323161
603,2318267
604,2329973
605,2310711
606,2382971
607,2317913
608,2341997
609,2374317
610,2308675
611,2327537
612,2532127
613,2385825
614,2417377
615,2300317
616,2388399
617,2337885
618,2344407
619,2383643
620,2351981
621,2319047
622,2442065
623,2317143
624,2436889
625,2393237
626,2321227
627,2298469
628,2338397
629,2322039
630,2372733
631,2315639
632,2381855
633,2361459
634,2340477
635,2566861
636,2316505
637,2340605
638,2443691
639,2352527
640,2300923
641,2328377
642,2362255
643,2324205
644,2305123
645,2322505
646,2332623
647,2320953
648,2547729
649,2369245
650,2346861
651,2347753
652,2331039
653,2333379
654,2324423
655,2469859
656,2468567
657,2356779
658,2347231
659,2303649
660,2324059
661,2415129
662,2320089
663,2383907
664,2414285
665,2318317
666,2371919
667,2454403
668,2406895
669,2338691
670,2361671
671,2326683
672,2322097
673,2322155
674,2404907
675,2327317
676,2401511
677,2410555
678,2316429
679,2446795
680,2468721
681,2382277
682,2452031
683,2356563
684,2346993
685,2444821
686,2361303
687,2360373
688,2318129
689,2324903
690,2303593
691,2338271
692,2327411
693,2604823
694,2371143
695,2332011
696,2320697
697,2317735
698,2355837
699,2480039
700,2342085
701,2330041
702,2390303
703,2339839
704,2328619
705,2456459
706,2316425
707,2333047
708,2644475
709,2352581
710,2347555
711,2306437
712,2420551
713,2408095
714,2345773
715,2321041
716,2300375
717,2333571
718,2432711
719,2342931
720,2352559
721,2273831
722,2371377
723,2285089
724,2368451
725,2326021
726,2340343
727,2330911
728,2309063
729,2374833
730,2479489
731,2372447
732,2468487
733,2334563
734,2655611
735,2392741
736,2353783
737,2478383
738,2294207
739,2453288
740,2357645
741,2332767
742,2337443
743,2482285
744,2317715
745,2343307
746,2299531
747,2334889
748,2342427
749,2342303
750,2371815
751,2525285
752,2347613
753,2348557
754,2345237
755,2545011
756,2411933
757,2317227
758,2360729
759,2317395
760,2352857
761,2331413
762,2398633
763,2338681
764,2339507
765,2338577
766,2330865
767,2288381
768,2369673
769,2344369
770,2332991
771,2308791
772,2294077
773,2304191
774,2398773
775,2385075
776,2379189
777,2307089
778,2363235
779,2307327
780,2487183
781,2462764
782,2407063
783,2475653
784,2380963
785,2326537
786,2348891
787,2306603
788,2416099
789,2320103
790,2394187
791,2339097
792,2352551
793,2340195
794,2407835
795,2423597
796,2346729
797,2404169
798,2334567
799,2331967
800,2397223
801,2353533
802,2439132
803,2317451
804,2310623
805,2307495
806,2319469
807,2480079
808,2329591
809,2317705
810,2477079
811,2337875
812,2324127
813,2377859
814,2468935
815,2314113
816,2377021
817,2327555
818,2396713
819,2295409
820,2489713
821,2316449
822,2346523
823,2315527
824,2356575
825,2318615
826,2405713
827,2328671
828,2303003
829,2308185
830,2338503
831,2325647
832,2395539
833,2343985
834,2377435
835,2308315
836,2357027
837,2315301
838,2344955
839,2492855
840,2315185
841,2338039
842,2404203
843,2326989
844,2446031
845,2480777
846,2314861
847,2334719
848,2369339
849,2337961
850,2335353
851,2436349
852,2301647
853,2298881
854,2344083
855,2317857
856,2337483
857,2301957
858,2518029
859,2361879
860,2335565
861,2325849
862,2349731
863,2490011
864,2406065
865,2375509
866,2350977
867,2304453
868,2363977
869,2300979
870,2401913
871,2317813
872,2416301
873,2316755
874,2359039
875,2316919
876,2308713
877,2385671
878,2296757
879,2462391
880,2524851
881,2356645
882,2390989
883,2451231
884,2339463
885,2483297
886,2392609
887,2312561
888,2343495
889,2468575
890,2321099
891,2350179
892,2365041
893,2314031
894,2299881
895,2330801
896,2407117
897,2336301
898,2360591
899,2284841
900,2303599
901,2313177
902,2356825
903,2338777
904,2336413
905,2317295
906,2503295
907,2451697
908,2435147
909,2317631
910,2300021
911,2341129
912,2407141
913,2428689
914,2481193
915,2372303
916,2465235
917,2313225
918,2347013
919,2309799
920,2479813
921,2373351
922,2322741
923,2300363
924,2321333
925,2316125
926,2342357
927,2330491
928,2531217
929,2329373
930,2271473
931,2296047
932,2492459
933,2371533
934,2393821
935,2333047
936,2401003
937,2310275
938,2405231
939,2295033
940,2362301
941,2277593
942,2349849
943,2329481
944,2396699
945,2330491
946,2349701
947,2464325
948,2340277
949,2322857
950,2459319
951,2327793
952,2355199
953,2500719
954,2404323
955,2356957
956,2332259
957,2308897
958,2312743
959,2444902
960,2371361
961,2406299
962,2357683
963,2291917
964,2372627
965,2328039
966,2375967
967,2314869
968,2380469
969,2334803
970,2337943
971,2310945
972,2388875
973,2341325
974,2341599
975,2416343
976,2392445
977,2329507
978,2408885
979,2341223
980,2315679
981,2323075
982,2345979
983,2359859
984,2299375
985,2337765
986,2320333
987,2376115
988,2349427
989,2319655
990,2354109
991,2397933
992,2403341
993,2351453
994,2323523
995,2310411
996,2330473
997,2307593
998,2328683
999,2309321
